commune,timestamp,temperature_c,humidite_pct,rayonnement_solaire_wm2,vitesse_vent_kmh,precipitation_mm,date,day,day_of_week,month,season,hour
Bordeaux,2023-01-01 18:00:00,6.1,38.0,56.0,21.5,1.9,2023-01-01,1,6,1,Hiver,18
Bordeaux,2023-01-01 19:00:00,5.0,51.2,214.1,29.9,0.0,2023-01-01,1,6,1,Hiver,19
Bordeaux,2023-01-01 20:00:00,2.4,50.8,656.0,23.9,0.0,2023-01-01,1,6,1,Hiver,20
Bordeaux,2023-01-01 21:00:00,10.1,55.9,3.6,6.4,0.0,2023-01-01,1,6,1,Hiver,21
Bordeaux,2023-01-01 22:00:00,8.4,68.7,30.8,38.9,0.0,2023-01-01,1,6,1,Hiver,22
Bordeaux,2023-01-01 23:00:00,3.2,90.1,26.7,6.1,10.2,2023-01-01,1,6,1,Hiver,23
Bordeaux,2023-01-02 00:00:00,3.4,68.8,31.3,25.3,0.0,2023-01-02,2,0,1,Hiver,0
Bordeaux,2023-01-02 01:00:00,1.7,30.6,12.0,39.4,0.0,2023-01-02,2,0,1,Hiver,1
Bordeaux,2023-01-02 02:00:00,0.0,54.7,8.8,35.1,0.0,2023-01-02,2,0,1,Hiver,2
Bordeaux,2023-01-02 03:00:00,5.2,75.9,39.1,2.0,9.4,2023-01-02,2,0,1,Hiver,3
Bordeaux,2023-01-02 04:00:00,4.1,93.9,9.6,20.3,0.0,2023-01-02,2,0,1,Hiver,4
Bordeaux,2023-01-02 05:00:00,7.5,86.1,38.0,10.5,0.0,2023-01-02,2,0,1,Hiver,5
Bordeaux,2023-01-02 06:00:00,1.1,80.3,656.5,23.2,0.0,2023-01-02,2,0,1,Hiver,6
Bordeaux,2023-01-02 07:00:00,10.7,100.0,245.5,3.6,14.1,2023-01-02,2,0,1,Hiver,7
Bordeaux,2023-01-02 08:00:00,2.3,51.9,680.5,2.3,12.1,2023-01-02,2,0,1,Hiver,8
Bordeaux,2023-01-02 09:00:00,0.1,84.5,497.8,35.1,0.6,2023-01-02,2,0,1,Hiver,9
Bordeaux,2023-01-02 10:00:00,-0.7,36.5,97.8,14.8,0.0,2023-01-02,2,0,1,Hiver,10
Bordeaux,2023-01-02 11:00:00,5.4,56.0,744.6,3.7,0.0,2023-01-02,2,0,1,Hiver,11
Bordeaux,2023-01-02 12:00:00,6.5,56.0,200.7,7.0,7.4,2023-01-02,2,0,1,Hiver,12
Bordeaux,2023-01-02 13:00:00,-1.1,58.7,578.6,8.2,0.0,2023-01-02,2,0,1,Hiver,13
Bordeaux,2023-01-02 14:00:00,4.5,47.2,297.1,17.4,0.0,2023-01-02,2,0,1,Hiver,14
Bordeaux,2023-01-02 15:00:00,1.4,66.5,116.9,14.1,12.3,2023-01-02,2,0,1,Hiver,15
Bordeaux,2023-01-02 16:00:00,0.2,76.7,792.5,4.8,0.0,2023-01-02,2,0,1,Hiver,16
Bordeaux,2023-01-02 17:00:00,2.2,51.2,114.9,37.4,0.0,2023-01-02,2,0,1,Hiver,17
Bordeaux,2023-01-02 18:00:00,-1.0,37.1,413.4,30.9,9.1,2023-01-02,2,0,1,Hiver,18
Bordeaux,2023-01-02 19:00:00,6.0,60.5,400.1,37.2,0.0,2023-01-02,2,0,1,Hiver,19
Bordeaux,2023-01-02 20:00:00,4.8,87.9,187.1,8.1,11.2,2023-01-02,2,0,1,Hiver,20
Bordeaux,2023-01-02 21:00:00,8.2,80.1,2.1,4.8,0.0,2023-01-02,2,0,1,Hiver,21
Bordeaux,2023-01-02 22:00:00,5.4,73.0,39.1,24.9,0.0,2023-01-02,2,0,1,Hiver,22
Bordeaux,2023-01-02 23:00:00,2.2,33.6,42.9,6.0,0.0,2023-01-02,2,0,1,Hiver,23
Bordeaux,2023-01-03 00:00:00,10.4,61.0,29.5,15.9,11.0,2023-01-03,3,1,1,Hiver,0
Bordeaux,2023-01-03 01:00:00,2.1,72.5,49.8,0.7,8.7,2023-01-03,3,1,1,Hiver,1
Bordeaux,2023-01-03 02:00:00,7.2,94.5,5.3,27.1,0.0,2023-01-03,3,1,1,Hiver,2
Bordeaux,2023-01-03 03:00:00,8.1,74.8,40.4,14.6,0.0,2023-01-03,3,1,1,Hiver,3
Bordeaux,2023-01-03 04:00:00,2.2,46.9,33.4,0.3,0.0,2023-01-03,3,1,1,Hiver,4
Bordeaux,2023-01-03 05:00:00,6.6,30.9,40.3,25.4,0.0,2023-01-03,3,1,1,Hiver,5
Bordeaux,2023-01-03 06:00:00,2.6,85.9,176.4,37.4,1.6,2023-01-03,3,1,1,Hiver,6
Bordeaux,2023-01-03 07:00:00,-1.9,75.3,516.5,32.7,0.0,2023-01-03,3,1,1,Hiver,7
Bordeaux,2023-01-03 08:00:00,3.9,70.6,226.7,18.9,0.0,2023-01-03,3,1,1,Hiver,8
Bordeaux,2023-01-03 09:00:00,11.5,93.5,730.3,29.3,0.0,2023-01-03,3,1,1,Hiver,9
Bordeaux,2023-01-03 10:00:00,-0.9,73.4,636.9,20.4,7.2,2023-01-03,3,1,1,Hiver,10
Bordeaux,2023-01-03 11:00:00,-1.3,39.6,3.0,5.4,0.0,2023-01-03,3,1,1,Hiver,11
Bordeaux,2023-01-03 12:00:00,8.4,85.6,42.0,39.3,0.0,2023-01-03,3,1,1,Hiver,12
Bordeaux,2023-01-03 13:00:00,10.5,84.0,312.7,6.9,0.0,2023-01-03,3,1,1,Hiver,13
Bordeaux,2023-01-03 14:00:00,8.6,81.5,222.8,6.6,0.0,2023-01-03,3,1,1,Hiver,14
Bordeaux,2023-01-03 15:00:00,-0.2,56.2,372.6,37.4,6.2,2023-01-03,3,1,1,Hiver,15
Bordeaux,2023-01-03 16:00:00,6.1,94.0,222.1,19.3,0.0,2023-01-03,3,1,1,Hiver,16
Bordeaux,2023-01-03 17:00:00,8.8,88.3,142.0,10.6,0.0,2023-01-03,3,1,1,Hiver,17
Bordeaux,2023-01-03 18:00:00,11.3,79.8,57.0,4.7,0.0,2023-01-03,3,1,1,Hiver,18
Bordeaux,2023-01-03 19:00:00,8.3,76.3,73.1,21.8,0.0,2023-01-03,3,1,1,Hiver,19
Bordeaux,2023-01-03 21:00:00,11.8,82.7,4.8,18.5,0.0,2023-01-03,3,1,1,Hiver,21
Bordeaux,2023-01-03 22:00:00,2.3,88.6,27.2,17.3,0.0,2023-01-03,3,1,1,Hiver,22
Bordeaux,2023-01-03 23:00:00,7.5,61.4,31.9,12.7,0.0,2023-01-03,3,1,1,Hiver,23
Bordeaux,2023-01-04 00:00:00,0.7,63.7,21.7,17.3,0.0,2023-01-04,4,2,1,Hiver,0
Bordeaux,2023-01-04 01:00:00,10.9,84.9,44.0,26.4,4.6,2023-01-04,4,2,1,Hiver,1
Bordeaux,2023-01-04 02:00:00,5.4,35.7,19.2,39.1,0.0,2023-01-04,4,2,1,Hiver,2
Bordeaux,2023-01-04 03:00:00,6.8,38.2,11.3,17.4,0.0,2023-01-04,4,2,1,Hiver,3
Bordeaux,2023-01-04 04:00:00,9.6,77.1,33.9,33.5,5.6,2023-01-04,4,2,1,Hiver,4
Bordeaux,2023-01-04 05:00:00,11.2,62.0,47.9,2.8,0.0,2023-01-04,4,2,1,Hiver,5
Bordeaux,2023-01-04 06:00:00,3.7,59.7,309.6,22.6,0.0,2023-01-04,4,2,1,Hiver,6
Bordeaux,2023-01-04 07:00:00,9.8,46.0,518.3,29.9,0.0,2023-01-04,4,2,1,Hiver,7
Bordeaux,2023-01-04 08:00:00,8.8,68.5,300.5,0.9,0.0,2023-01-04,4,2,1,Hiver,8
Bordeaux,2023-01-04 09:00:00,10.2,64.0,443.6,21.7,12.5,2023-01-04,4,2,1,Hiver,9
Bordeaux,2023-01-04 10:00:00,8.0,67.8,199.0,8.7,0.0,2023-01-04,4,2,1,Hiver,10
Bordeaux,2023-01-04 11:00:00,4.5,63.9,140.6,24.0,12.8,2023-01-04,4,2,1,Hiver,11
Bordeaux,2023-01-04 12:00:00,8.3,36.0,391.9,4.6,0.0,2023-01-04,4,2,1,Hiver,12
Bordeaux,2023-01-04 13:00:00,2.4,69.9,554.3,20.8,0.0,2023-01-04,4,2,1,Hiver,13
Bordeaux,2023-01-04 14:00:00,7.6,77.9,712.8,17.8,3.9,2023-01-04,4,2,1,Hiver,14
Bordeaux,2023-01-04 15:00:00,1.8,86.1,280.4,39.0,0.0,2023-01-04,4,2,1,Hiver,15
Bordeaux,2023-01-04 16:00:00,9.1,92.9,771.9,10.4,0.0,2023-01-04,4,2,1,Hiver,16
Bordeaux,2023-01-04 17:00:00,4.8,57.1,255.8,10.1,0.0,2023-01-04,4,2,1,Hiver,17
Bordeaux,2023-01-04 18:00:00,11.8,93.3,665.2,39.2,0.5,2023-01-04,4,2,1,Hiver,18
Bordeaux,2023-01-04 19:00:00,-1.2,62.6,790.5,31.0,0.0,2023-01-04,4,2,1,Hiver,19
Bordeaux,2023-01-04 20:00:00,9.9,48.9,569.7,2.9,3.9,2023-01-04,4,2,1,Hiver,20
Bordeaux,2023-01-04 21:00:00,5.3,67.8,24.7,31.0,0.0,2023-01-04,4,2,1,Hiver,21
Bordeaux,2023-01-04 22:00:00,10.6,66.8,9.1,20.9,0.0,2023-01-04,4,2,1,Hiver,22
Bordeaux,2023-01-04 23:00:00,11.2,49.0,49.2,22.0,14.1,2023-01-04,4,2,1,Hiver,23
Bordeaux,2023-01-05 00:00:00,5.0,61.9,27.4,18.9,0.0,2023-01-05,5,3,1,Hiver,0
Bordeaux,2023-01-05 01:00:00,11.1,62.4,39.7,33.2,1.6,2023-01-05,5,3,1,Hiver,1
Bordeaux,2023-01-05 02:00:00,2.5,50.5,6.2,17.6,0.0,2023-01-05,5,3,1,Hiver,2
Bordeaux,2023-01-05 03:00:00,8.2,48.2,45.0,2.3,0.0,2023-01-05,5,3,1,Hiver,3
Bordeaux,2023-01-05 04:00:00,9.2,76.0,24.9,10.9,0.0,2023-01-05,5,3,1,Hiver,4
Bordeaux,2023-01-05 05:00:00,8.3,30.2,11.9,15.3,0.0,2023-01-05,5,3,1,Hiver,5
Bordeaux,2023-01-05 06:00:00,-1.3,89.0,448.6,31.2,0.0,2023-01-05,5,3,1,Hiver,6
Bordeaux,2023-01-05 07:00:00,11.6,58.0,297.3,12.6,0.0,2023-01-05,5,3,1,Hiver,7
Bordeaux,2023-01-05 08:00:00,2.8,89.5,728.4,0.8,12.6,2023-01-05,5,3,1,Hiver,8
Bordeaux,2023-01-05 09:00:00,4.4,94.1,540.0,4.7,0.0,2023-01-05,5,3,1,Hiver,9
Bordeaux,2023-01-05 10:00:00,11.4,76.4,441.6,16.2,0.0,2023-01-05,5,3,1,Hiver,10
Bordeaux,2023-01-05 11:00:00,7.0,82.1,388.6,38.4,0.0,2023-01-05,5,3,1,Hiver,11
Bordeaux,2023-01-05 12:00:00,11.3,92.4,473.7,37.1,0.0,2023-01-05,5,3,1,Hiver,12
Bordeaux,2023-01-05 13:00:00,-1.5,80.3,774.2,35.5,0.0,2023-01-05,5,3,1,Hiver,13
Bordeaux,2023-01-05 14:00:00,4.5,75.4,602.0,38.1,0.0,2023-01-05,5,3,1,Hiver,14
Bordeaux,2023-01-05 15:00:00,8.2,78.1,647.3,34.7,0.0,2023-01-05,5,3,1,Hiver,15
Bordeaux,2023-01-05 16:00:00,9.8,85.8,593.6,1.9,3.1,2023-01-05,5,3,1,Hiver,16
Bordeaux,2023-01-05 17:00:00,6.3,82.0,708.2,19.0,0.0,2023-01-05,5,3,1,Hiver,17
Bordeaux,2023-01-05 18:00:00,8.0,53.7,397.3,29.5,6.7,2023-01-05,5,3,1,Hiver,18
Bordeaux,2023-01-05 19:00:00,-1.0,70.9,142.9,16.0,0.5,2023-01-05,5,3,1,Hiver,19
Bordeaux,2023-01-05 20:00:00,5.9,48.1,356.7,29.8,3.3,2023-01-05,5,3,1,Hiver,20
Bordeaux,2023-01-05 21:00:00,5.6,93.3,29.2,20.7,0.0,2023-01-05,5,3,1,Hiver,21
Bordeaux,2023-01-05 22:00:00,8.35,67.6,34.7,34.5,0.0,2023-01-05,5,3,1,Hiver,22
Bordeaux,2023-01-05 23:00:00,11.1,60.8,33.5,30.1,0.0,2023-01-05,5,3,1,Hiver,23
Bordeaux,2023-01-06 00:00:00,1.7,80.1,45.1,3.4,0.0,2023-01-06,6,4,1,Hiver,0
Bordeaux,2023-01-06 01:00:00,3.1,31.4,25.5,0.5,11.4,2023-01-06,6,4,1,Hiver,1
Bordeaux,2023-01-06 03:00:00,9.6,65.5,20.7,18.0,0.0,2023-01-06,6,4,1,Hiver,3
Bordeaux,2023-01-06 04:00:00,3.7,66.6,8.3,14.1,0.0,2023-01-06,6,4,1,Hiver,4
Bordeaux,2023-01-06 05:00:00,5.0,63.8,44.6,22.4,0.0,2023-01-06,6,4,1,Hiver,5
Bordeaux,2023-01-06 07:00:00,-1.7,83.5,523.6,38.2,0.0,2023-01-06,6,4,1,Hiver,7
Bordeaux,2023-01-06 08:00:00,11.1,60.8,338.1,3.8,0.0,2023-01-06,6,4,1,Hiver,8
Bordeaux,2023-01-06 09:00:00,-1.5,62.5,162.0,20.8,0.0,2023-01-06,6,4,1,Hiver,9
Bordeaux,2023-01-06 10:00:00,2.3,72.4,99.7,13.2,0.0,2023-01-06,6,4,1,Hiver,10
Bordeaux,2023-01-06 11:00:00,3.3,31.4,595.0,38.7,0.0,2023-01-06,6,4,1,Hiver,11
Bordeaux,2023-01-06 12:00:00,5.1,81.0,762.3,21.9,0.0,2023-01-06,6,4,1,Hiver,12
Bordeaux,2023-01-06 13:00:00,10.3,41.7,542.5,16.7,0.0,2023-01-06,6,4,1,Hiver,13
Bordeaux,2023-01-06 14:00:00,7.0,44.0,356.3,27.1,0.0,2023-01-06,6,4,1,Hiver,14
Bordeaux,2023-01-06 15:00:00,2.3,69.2,517.6,4.0,0.0,2023-01-06,6,4,1,Hiver,15
Bordeaux,2023-01-06 16:00:00,4.1,59.4,504.5,27.4,0.0,2023-01-06,6,4,1,Hiver,16
Bordeaux,2023-01-06 17:00:00,2.3,79.9,388.1,1.9,0.0,2023-01-06,6,4,1,Hiver,17
Bordeaux,2023-01-06 18:00:00,10.3,54.5,97.7,39.0,0.0,2023-01-06,6,4,1,Hiver,18
Bordeaux,2023-01-06 19:00:00,-1.3,64.2,789.7,34.0,0.0,2023-01-06,6,4,1,Hiver,19
Bordeaux,2023-01-06 20:00:00,4.0,86.5,737.7,5.4,0.0,2023-01-06,6,4,1,Hiver,20
Bordeaux,2023-01-06 21:00:00,1.8,74.0,29.0,13.8,0.0,2023-01-06,6,4,1,Hiver,21
Bordeaux,2023-01-06 22:00:00,-0.6,88.5,8.7,19.9,1.1,2023-01-06,6,4,1,Hiver,22
Bordeaux,2023-01-06 23:00:00,2.3,34.0,46.8,15.4,0.0,2023-01-06,6,4,1,Hiver,23
Bordeaux,2023-01-07 00:00:00,0.7,59.0,38.0,36.7,0.0,2023-01-07,7,5,1,Hiver,0
Bordeaux,2023-01-07 01:00:00,-1.6,30.6,49.9,9.8,11.3,2023-01-07,7,5,1,Hiver,1
Bordeaux,2023-01-07 02:00:00,-1.6,55.5,0.7,27.9,0.0,2023-01-07,7,5,1,Hiver,2
Bordeaux,2023-01-07 03:00:00,1.6,42.9,14.1,34.6,0.0,2023-01-07,7,5,1,Hiver,3
Bordeaux,2023-01-07 05:00:00,-1.9,80.5,8.7,15.1,0.0,2023-01-07,7,5,1,Hiver,5
Bordeaux,2023-01-07 07:00:00,8.5,71.1,289.1,18.3,0.0,2023-01-07,7,5,1,Hiver,7
Bordeaux,2023-01-07 08:00:00,10.3,48.1,116.0,23.8,0.0,2023-01-07,7,5,1,Hiver,8
Bordeaux,2023-01-07 09:00:00,9.6,49.0,90.3,21.0,7.5,2023-01-07,7,5,1,Hiver,9
Bordeaux,2023-01-07 10:00:00,-0.4,45.1,479.4,12.3,0.0,2023-01-07,7,5,1,Hiver,10
Bordeaux,2023-01-07 11:00:00,10.3,63.1,506.2,7.7,13.2,2023-01-07,7,5,1,Hiver,11
Bordeaux,2023-01-07 12:00:00,10.7,86.8,225.4,9.8,0.0,2023-01-07,7,5,1,Hiver,12
Bordeaux,2023-01-07 13:00:00,8.6,44.2,42.4,9.4,0.0,2023-01-07,7,5,1,Hiver,13
Bordeaux,2023-01-07 15:00:00,6.3,73.9,695.9,11.6,7.3,2023-01-07,7,5,1,Hiver,15
Bordeaux,2023-01-07 16:00:00,11.2,55.9,243.4,15.9,0.0,2023-01-07,7,5,1,Hiver,16
Bordeaux,2023-01-07 17:00:00,1.7,44.7,312.7,37.5,0.0,2023-01-07,7,5,1,Hiver,17
Bordeaux,2023-01-07 18:00:00,5.8,35.8,494.9,27.7,0.0,2023-01-07,7,5,1,Hiver,18
Bordeaux,2023-01-07 19:00:00,6.6,87.7,758.3,33.0,0.0,2023-01-07,7,5,1,Hiver,19
Bordeaux,2023-01-07 20:00:00,9.9,92.1,738.9,39.7,0.0,2023-01-07,7,5,1,Hiver,20
Bordeaux,2023-01-07 21:00:00,6.9,86.7,12.4,26.9,10.8,2023-01-07,7,5,1,Hiver,21
Bordeaux,2023-01-07 22:00:00,-0.6,33.7,35.5,26.0,6.0,2023-01-07,7,5,1,Hiver,22
Bordeaux,2023-01-07 23:00:00,2.7,57.9,31.8,34.1,0.0,2023-01-07,7,5,1,Hiver,23
Bordeaux,2023-01-08 00:00:00,7.8,37.7,32.4,37.9,0.0,2023-01-08,8,6,1,Hiver,0
Bordeaux,2023-01-08 01:00:00,11.6,43.8,29.5,36.0,0.0,2023-01-08,8,6,1,Hiver,1
Bordeaux,2023-01-08 02:00:00,11.8,79.4,25.2,15.4,0.0,2023-01-08,8,6,1,Hiver,2
Bordeaux,2023-01-08 03:00:00,1.2,79.8,32.3,19.9,0.0,2023-01-08,8,6,1,Hiver,3
Bordeaux,2023-01-08 05:00:00,10.1,92.3,7.1,11.4,0.0,2023-01-08,8,6,1,Hiver,5
Bordeaux,2023-01-08 06:00:00,11.7,69.1,701.8,6.8,0.0,2023-01-08,8,6,1,Hiver,6
Bordeaux,2023-01-08 07:00:00,9.8,92.7,736.7,3.1,0.0,2023-01-08,8,6,1,Hiver,7
Bordeaux,2023-01-08 08:00:00,2.5,62.3,380.0,29.2,0.0,2023-01-08,8,6,1,Hiver,8
Bordeaux,2023-01-08 09:00:00,3.8,87.0,402.5,10.1,0.0,2023-01-08,8,6,1,Hiver,9
Bordeaux,2023-01-08 10:00:00,7.6,30.8,28.6,6.7,11.4,2023-01-08,8,6,1,Hiver,10
Bordeaux,2023-01-08 11:00:00,2.5,55.2,407.4,13.1,0.0,2023-01-08,8,6,1,Hiver,11
Bordeaux,2023-01-08 12:00:00,11.6,37.8,156.8,28.0,0.1,2023-01-08,8,6,1,Hiver,12
Bordeaux,2023-01-08 13:00:00,3.3,51.6,748.7,17.1,13.8,2023-01-08,8,6,1,Hiver,13
Bordeaux,2023-01-08 14:00:00,12.0,94.0,779.8,23.9,4.8,2023-01-08,8,6,1,Hiver,14
Bordeaux,2023-01-08 15:00:00,-0.3,63.5,627.6,18.9,0.0,2023-01-08,8,6,1,Hiver,15
Bordeaux,2023-01-08 16:00:00,3.1,31.2,222.7,36.3,0.0,2023-01-08,8,6,1,Hiver,16
Bordeaux,2023-01-08 17:00:00,1.8,90.4,144.0,3.0,0.0,2023-01-08,8,6,1,Hiver,17
Bordeaux,2023-01-08 18:00:00,0.6,34.8,208.6,33.3,0.0,2023-01-08,8,6,1,Hiver,18
Bordeaux,2023-01-08 19:00:00,-1.0,67.4,272.7,21.2,0.0,2023-01-08,8,6,1,Hiver,19
Bordeaux,2023-01-08 20:00:00,-0.3,63.1,344.1,15.5,0.0,2023-01-08,8,6,1,Hiver,20
Bordeaux,2023-01-08 21:00:00,-1.9,64.7,13.4,28.6,0.0,2023-01-08,8,6,1,Hiver,21
Bordeaux,2023-01-08 22:00:00,-1.1,74.5,12.3,38.8,0.0,2023-01-08,8,6,1,Hiver,22
Bordeaux,2023-01-08 23:00:00,3.6,47.9,21.6,26.2,0.0,2023-01-08,8,6,1,Hiver,23
Bordeaux,2023-01-09 00:00:00,2.6,30.5,48.7,11.6,0.0,2023-01-09,9,0,1,Hiver,0
Bordeaux,2023-01-09 01:00:00,3.0,88.8,15.8,0.1,10.0,2023-01-09,9,0,1,Hiver,1
Bordeaux,2023-01-09 02:00:00,10.8,34.9,22.4,7.8,6.7,2023-01-09,9,0,1,Hiver,2
Bordeaux,2023-01-09 03:00:00,5.9,76.8,37.4,6.1,0.0,2023-01-09,9,0,1,Hiver,3
Bordeaux,2023-01-09 04:00:00,-1.0,37.4,1.6,7.8,6.2,2023-01-09,9,0,1,Hiver,4
Bordeaux,2023-01-09 05:00:00,10.3,40.5,0.6,6.2,0.0,2023-01-09,9,0,1,Hiver,5
Bordeaux,2023-01-09 06:00:00,5.4,42.0,630.8,19.3,13.2,2023-01-09,9,0,1,Hiver,6
Bordeaux,2023-01-09 07:00:00,5.6,87.8,327.3,27.4,0.0,2023-01-09,9,0,1,Hiver,7
Bordeaux,2023-01-09 08:00:00,2.0,71.9,317.9,24.5,0.0,2023-01-09,9,0,1,Hiver,8
Bordeaux,2023-01-09 09:00:00,-1.4,55.2,786.6,31.4,1.7,2023-01-09,9,0,1,Hiver,9
Bordeaux,2023-01-09 10:00:00,7.8,92.9,721.6,36.5,13.6,2023-01-09,9,0,1,Hiver,10
Bordeaux,2023-01-09 11:00:00,8.3,92.2,182.9,10.7,0.0,2023-01-09,9,0,1,Hiver,11
Bordeaux,2023-01-09 12:00:00,6.9,92.4,110.2,23.8,0.0,2023-01-09,9,0,1,Hiver,12
Bordeaux,2023-01-09 13:00:00,4.8,72.8,781.1,11.6,11.9,2023-01-09,9,0,1,Hiver,13
Bordeaux,2023-01-09 14:00:00,6.0,39.4,86.8,12.3,0.0,2023-01-09,9,0,1,Hiver,14
Bordeaux,2023-01-09 15:00:00,10.3,81.2,62.2,26.6,0.0,2023-01-09,9,0,1,Hiver,15
Bordeaux,2023-01-09 16:00:00,9.7,62.6,18.6,27.9,1.1,2023-01-09,9,0,1,Hiver,16
Bordeaux,2023-01-09 17:00:00,1.9,60.4,224.7,21.6,0.0,2023-01-09,9,0,1,Hiver,17
Bordeaux,2023-01-09 18:00:00,3.2,74.9,546.3,7.1,0.0,2023-01-09,9,0,1,Hiver,18
Bordeaux,2023-01-09 19:00:00,5.8,61.5,172.9,39.9,0.0,2023-01-09,9,0,1,Hiver,19
Bordeaux,2023-01-09 20:00:00,8.9,58.5,639.2,5.9,0.0,2023-01-09,9,0,1,Hiver,20
Bordeaux,2023-01-09 21:00:00,-1.4,68.4,47.5,23.3,0.0,2023-01-09,9,0,1,Hiver,21
Bordeaux,2023-01-09 23:00:00,10.0,74.1,20.8,19.8,0.0,2023-01-09,9,0,1,Hiver,23
Bordeaux,2023-01-10 00:00:00,-0.6,58.5,49.8,39.3,0.0,2023-01-10,10,1,1,Hiver,0
Bordeaux,2023-01-10 01:00:00,-0.3,77.8,22.4,22.8,0.0,2023-01-10,10,1,1,Hiver,1
Bordeaux,2023-01-10 02:00:00,1.8,72.5,32.4,16.2,8.9,2023-01-10,10,1,1,Hiver,2
Bordeaux,2023-01-10 03:00:00,12.0,57.4,3.3,13.6,0.0,2023-01-10,10,1,1,Hiver,3
Bordeaux,2023-01-10 04:00:00,8.3,64.4,22.4,22.1,0.0,2023-01-10,10,1,1,Hiver,4
Bordeaux,2023-01-10 05:00:00,7.3,82.2,230.35000000000002,38.2,0.0,2023-01-10,10,1,1,Hiver,5
Bordeaux,2023-01-10 06:00:00,-1.3,50.8,438.3,36.8,0.0,2023-01-10,10,1,1,Hiver,6
Bordeaux,2023-01-10 07:00:00,1.1,33.4,118.4,28.2,10.3,2023-01-10,10,1,1,Hiver,7
Bordeaux,2023-01-10 09:00:00,6.6,51.2,89.8,32.9,0.0,2023-01-10,10,1,1,Hiver,9
Bordeaux,2023-01-10 10:00:00,2.9,83.7,92.6,33.3,0.0,2023-01-10,10,1,1,Hiver,10
Bordeaux,2023-01-10 11:00:00,4.9,82.9,132.8,30.9,0.0,2023-01-10,10,1,1,Hiver,11
Bordeaux,2023-01-10 12:00:00,10.7,36.1,492.9,7.8,11.7,2023-01-10,10,1,1,Hiver,12
Bordeaux,2023-01-10 13:00:00,-0.9,58.6,600.2,5.0,0.0,2023-01-10,10,1,1,Hiver,13
Bordeaux,2023-01-10 14:00:00,7.4,35.1,76.3,10.1,0.0,2023-01-10,10,1,1,Hiver,14
Bordeaux,2023-01-10 15:00:00,5.8,40.6,119.7,37.4,0.0,2023-01-10,10,1,1,Hiver,15
Bordeaux,2023-01-10 16:00:00,10.6,35.3,710.6,35.4,9.7,2023-01-10,10,1,1,Hiver,16
Bordeaux,2023-01-10 17:00:00,7.7,77.3,428.5,9.6,9.3,2023-01-10,10,1,1,Hiver,17
Bordeaux,2023-01-10 18:00:00,4.7,44.8,479.3,22.4,0.0,2023-01-10,10,1,1,Hiver,18
Bordeaux,2023-01-10 19:00:00,4.3,51.6,335.2,20.8,0.0,2023-01-10,10,1,1,Hiver,19
Bordeaux,2023-01-10 20:00:00,-2.0,84.8,215.1,1.6,0.0,2023-01-10,10,1,1,Hiver,20
Bordeaux,2023-01-10 21:00:00,4.1,39.1,23.7,17.1,6.7,2023-01-10,10,1,1,Hiver,21
Bordeaux,2023-01-10 22:00:00,10.8,80.8,21.3,19.1,0.0,2023-01-10,10,1,1,Hiver,22
Bordeaux,2023-01-10 23:00:00,-0.7,41.7,39.7,0.4,9.2,2023-01-10,10,1,1,Hiver,23
