batiment_id,classe_energetique,type_energie,conso_reelle_m2,seuil_dpe,seuil_depasse
BAT0107,F,gaz,2655.526554959785,375,True
BAT0108,F,electricite,1639.4207766497454,375,True
BAT0108,F,gaz,2456.996340101522,375,True
BAT0109,F,electricite,1858.3816691729317,375,True
BAT0109,F,gaz,2648.3305714285707,375,True
BAT0110,E,electricite,937.2112601626009,290,True
BAT0110,E,gaz,1408.3813821138203,290,True
BAT0111,F,electricite,1858.4655364511684,375,True
BAT0111,F,gaz,2649.2725722145797,375,True
BAT0112,G,electricite,6232.670549273021,500,True
BAT0112,G,gaz,9342.647851373182,500,True
BAT0113,G,electricite,2179.3806333072707,500,True
BAT0113,G,gaz,3107.274581704456,500,True
BAT0114,E,electricite,2029.7581479421572,290,True
BAT0114,E,gaz,3038.5645328142373,290,True
BAT0115,F,electricite,1858.1941037463969,375,True
BAT0115,F,gaz,2644.4908933717575,375,True
BAT0116,F,electricite,2651.3287896405914,375,True
BAT0116,F,gaz,3964.627568710359,375,True
BAT0117,A,electricite,361.5568575974534,50,True
BAT0117,A,gaz,542.0639697692911,50,True
BAT0118,E,electricite,4053.160096839959,290,True
BAT0118,E,gaz,6085.329747706422,290,True
BAT0119,E,electricite,4053.075420924574,290,True
BAT0119,E,gaz,6071.85609245742,290,True
BAT0120,D,electricite,3128.857063380281,215,True
BAT0120,D,gaz,4679.640637323943,215,True
BAT0121,G,electricite,6236.305907540735,500,True
BAT0121,G,gaz,9365.58627889352,500,True
BAT0122,G,electricite,6266.616668777707,500,True
BAT0122,G,gaz,9375.612938568715,500,True
BAT0123,G,electricite,3115.5947772446875,500,True
BAT0123,G,gaz,4660.770095956133,500,True
BAT0124,G,electricite,1920.1061057173672,500,True
BAT0124,G,gaz,2873.013106796116,500,True
BAT0125,F,electricite,1856.9116625615757,375,True
BAT0125,F,gaz,2653.3158990147776,375,True
BAT0126,G,electricite,1920.725118203309,500,True
BAT0126,G,gaz,2892.733055555555,500,True
BAT0127,E,electricite,937.7206179775272,290,True
BAT0127,E,gaz,1404.4238951310854,290,True
BAT0128,D,electricite,1558.2568976594762,215,True
BAT0128,D,gaz,2341.203042680128,215,True
BAT0129,E,electricite,936.0976483516475,290,True
BAT0129,E,gaz,1406.3544395604388,290,True
BAT0130,G,electricite,3110.359246147438,500,True
BAT0130,G,gaz,4688.124394002499,500,True
BAT0131,C,electricite,982.0784417808211,145,True
BAT0131,C,gaz,1409.0160445205472,145,True
BAT0132,C,electricite,1404.8114636283954,145,True
BAT0132,C,gaz,2100.829605609114,145,True
BAT0133,F,electricite,5315.7882606216135,375,True
BAT0133,F,gaz,7950.598437410892,375,True
BAT0134,G,electricite,6210.014176857949,500,True
BAT0134,G,gaz,9366.447210724366,500,True
BAT0135,D,electricite,1557.8891640866866,215,True
BAT0135,D,gaz,2345.3855108359126,215,True
BAT0136,F,electricite,5308.500165562913,375,True
BAT0136,F,gaz,7945.484755476312,375,True
BAT0137,G,electricite,1920.2155355303803,500,True
BAT0137,G,gaz,2891.033892893923,500,True
BAT0138,D,electricite,1093.0656832475693,215,True
BAT0138,D,gaz,1557.8690108633498,215,True
BAT0139,B,electricite,2176.303878488166,90,True
BAT0139,B,gaz,3280.195595196043,90,True
BAT0140,F,electricite,2658.7562404242776,375,True
BAT0140,F,gaz,3976.5818797878605,375,True
BAT0141,G,electricite,2182.1756902356897,500,True
BAT0141,G,gaz,3132.622738496071,500,True
BAT0142,D,electricite,3115.3582485426596,215,True
BAT0142,D,gaz,4679.883759936407,215,True
BAT0143,F,electricite,5311.619196401799,375,True
BAT0143,F,gaz,7921.54512143928,375,True
BAT0144,E,electricite,4050.8689463141022,290,True
BAT0144,E,gaz,6108.2583012820505,290,True
BAT0145,C,electricite,984.4246594684378,145,True
BAT0145,C,gaz,1406.6140365448498,145,True
BAT0146,F,electricite,5332.180360291299,375,True
BAT0146,F,gaz,7984.660973553086,375,True
